frame.number,frame.time_epoch,eth.src,eth.dst,ip.ttl,ip.src,udp.srcport,ip.dst,udp.dstport,data
43,1473411972, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 10 Price: 1514
44,1473411972, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 10 Price: 1514
45,1473411973, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 10 Price: 1514
46,1473411973, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 11 Price: 1676
47,1473411973, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 11 Price: 1676
48,1473411974, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 11 Price: 1676
49,1473411974, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 11 Price: 1676
50,1473411974, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 12 Price: 1596
51,1473411974, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 12 Price: 1596
52,1473411974, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 12 Price: 1596
53,1473411975, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 12 Price: 1596
54,1473411975, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 13 Price: 1527
55,1473411975, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 13 Price: 1527
56,1473411975, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 13 Price: 1527
57,1473411975, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 13 Price: 1527
58,1473411976, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 14 Price: 1643
59,1473411976, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 14 Price: 1643
60,1473411976, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 14 Price: 1643
61,1473411976, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 14 Price: 1643
62,1473411977, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 15 Price: 1632
63,1473411977, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 15 Price: 1632
64,1473411977, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 15 Price: 1632
65,1473411977, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 15 Price: 1632
66,1473411978, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 16 Price: 1595
67,1473411978, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 16 Price: 1595
68,1473411978, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 16 Price: 1595
69,1473411979, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 16 Price: 1595
70,1473411979, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 17 Price: 1565
71,1473411979, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 17 Price: 1565
72,1473411979, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 17 Price: 1565
73,1473411979, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 17 Price: 1565
74,1473411980, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 18 Price: 1521
75,1473411980, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 18 Price: 1521
76,1473411980, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 18 Price: 1521
77,1473411980, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 18 Price: 1521
78,1473411981, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 19 Price: 1501
79,1473411981, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 19 Price: 1501
80,1473411982, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 19 Price: 1501
81,1473411982, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 19 Price: 1501
82,1473411982, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 20 Price: 1579
83,1473411982, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 20 Price: 1579
84,1473411982, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 20 Price: 1579
85,1473411983, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 20 Price: 1579
86,1473411983, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 21 Price: 1511
87,1473411983, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 21 Price: 1511
88,1473411983, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 21 Price: 1511
89,1473411983, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 21 Price: 1511
90,1473411984, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 22 Price: 1513
91,1473411984, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 22 Price: 1513
92,1473411984, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 22 Price: 1513
93,1473411985, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 22 Price: 1513
94,1473411985, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 23 Price: 1687
95,1473411985, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 23 Price: 1687
96,1473411985, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 23 Price: 1687
97,1473411986, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 23 Price: 1687
98,1473411986, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 24 Price: 1539
99,1473411986, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 24 Price: 1539
100,1473411987, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 24 Price: 1539
101,1473411987, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 24 Price: 1539
102,1473411987, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 25 Price: 1682
103,1473411987, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 25 Price: 1682
104,1473411988, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 25 Price: 1682
105,1473411988, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 25 Price: 1682
106,1473411988, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 26 Price: 1534
107,1473411988, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 26 Price: 1534
108,1473411988, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 26 Price: 1534
109,1473411989, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 26 Price: 1534
110,1473411989, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 27 Price: 1628
111,1473411989, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 27 Price: 1628
112,1473411990, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 27 Price: 1628
113,1473411990, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 27 Price: 1628
114,1473411990, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 28 Price: 1582
115,1473411990, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 28 Price: 1582
116,1473411990, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 28 Price: 1582
117,1473411991, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 28 Price: 1582
118,1473411991, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 29 Price: 1540
119,1473411991, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 29 Price: 1540
120,1473411991, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 29 Price: 1540
121,1473411991, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 29 Price: 1540
122,1473411992, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 30 Price: 1631
123,1473411992, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 30 Price: 1631
124,1473411992, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 30 Price: 1631
125,1473411992, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 30 Price: 1631
126,1473411993, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 31 Price: 1541
127,1473411993, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 31 Price: 1541
128,1473411993, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 31 Price: 1541
129,1473411994, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 31 Price: 1541
130,1473411994, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 32 Price: 1593
131,1473411994, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 32 Price: 1593
132,1473411995, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 32 Price: 1593
133,1473411995, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 32 Price: 1593
134,1473411995, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 33 Price: 1578
135,1473411996, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 33 Price: 1578
136,1473411996, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 33 Price: 1578
137,1473411996, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 33 Price: 1578
138,1473411996, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 34 Price: 1522
139,1473411996, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 34 Price: 1522
140,1473411996, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 34 Price: 1522
141,1473411997, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 34 Price: 1522
142,1473411997, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 35 Price: 1543
143,1473411997, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 35 Price: 1543
144,1473411998, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 35 Price: 1543
145,1473411998, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 35 Price: 1543
146,1473411998, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 36 Price: 1668
147,1473411998, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 36 Price: 1668
148,1473411999, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 36 Price: 1668
149,1473411999, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 36 Price: 1668
150,1473411999, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 37 Price: 1517
151,1473411999, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 37 Price: 1517
152,1473411999, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 37 Price: 1517
153,1473412000, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 37 Price: 1517
154,1473412000, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 38 Price: 1573
155,1473412000, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 38 Price: 1573
156,1473412000, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 38 Price: 1573
157,1473412000, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 38 Price: 1573
158,1473412001, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 39 Price: 1638
159,1473412001, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 39 Price: 1638
160,1473412002, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 39 Price: 1638
161,1473412002, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 39 Price: 1638
